# maxrange N1 N2 finalcard time(s)
10994571 9906104 2352716 10862591 0.769030 
4898138 3885071 2747999 4719059 0.334390 
1417540 436301 1029252 750714 0.062612 
10387226 8707830 509366 10144216 0.723568 
10865725 10791731 3540677 10865159 0.769316 
12077645 743327 10294641 1331962 0.153548 
13673339 9094092 5981847 12072984 0.901518 
18417603 16856275 7386911 18308772 1.285079 
2587542 482002 955433 867966 0.079802 
9379174 2054586 8504970 3733709 0.362068 
7407330 121627 6986344 241995 0.025967 
16342013 14795561 10254933 16123359 1.151872 
12048860 8530150 5087032 10999359 0.783670 
9117832 3445180 6202527 5741811 0.449301 
5251990 2144303 2523825 3480014 0.263149 
8959295 5641263 2481337 7768212 0.550557 
7952741 2189420 4261859 3684749 0.292728 
1944976 1201964 64216 1620742 0.117845 
9200801 4138256 5878755 6556494 0.481347 
10199492 2073013 3781736 3618399 0.353242 
17676440 5084699 12263003 8124096 0.798468 
16505735 10054409 16471218 14275652 1.026204 
13002606 11703442 1157139 12870529 0.915959 
7052251 1094090 4837870 2025254 0.221377 
9442530 3017209 428164 5213217 0.424880 
16953165 8553971 13542677 12755688 0.912023 
17565625 7561079 5416466 12075557 0.891477 
14262547 9496561 13993202 12490158 0.900850 
9707131 1161120 5976395 2202477 0.273288 
9621931 1031056 6301084 1968877 0.211829 
19388427 16179312 17199593 18727590 1.370824 
2517543 1609669 464512 2196841 0.155130 
16423768 11887155 10489383 15508734 1.115868 
2524643 166981 2409802 321440 0.030721 
11207394 4251682 1118858 6797745 0.539106 
5854098 2219340 5619254 3496891 0.276712 
11058752 7301375 4173874 9792295 0.705798 
8149010 1409655 2903759 2511561 0.249502 
17856142 9863286 8506584 13348391 0.998808 
19994425 7655097 16871878 12222236 0.985763 
19382853 13993020 2856441 18007391 1.310247 
14416748 6629583 5869100 10263057 0.723136 
10840516 8387298 69540 10442315 0.735627 
13365159 13221044 1757732 13363282 0.946581 
4572553 1334025 3103595 2278897 0.181403 
2943003 2686060 578234 2916907 0.206368 
6518107 6028744 4314163 6473302 0.454345 
19529154 14184707 19278742 17806058 1.283505 
19592334 106623 13534299 212544 0.022931 
16976784 12723516 15669405 15346270 1.134680 
13781763 11176697 3621358 13403185 0.947852 
4546560 2981181 2648454 3928791 0.281401 
5185185 1313562 3395135 2260691 0.204216 
13595097 10798528 2115860 12869264 0.935154 
19373349 14824568 16202248 18342949 1.314894 
4852634 4601834 4130930 4847220 0.342556 
8808585 5955270 5996060 7972454 0.589305 
8034986 696332 7797802 1260835 0.175487 
16237892 6468984 8332237 9530588 0.700852 
6389569 4775268 3228263 5901556 0.429506 
11596366 9788523 6476415 11328911 0.814795 
5222833 2610174 5147558 4102220 0.273733 
7073847 3589404 2835593 5353399 0.379669 
16941062 15898476 2852483 16876200 1.201029 
8830763 356788 611619 691415 0.093245 
13683397 1786660 4026191 3338569 0.416226 
2491982 2075436 1021366 2423443 0.173759 
3043320 1056706 37278 1718152 0.137243 
11797565 8344324 9544109 10926859 0.780211 
18187134 340454 14623384 659276 0.081846 
2299853 1460805 1207783 1962558 0.139615 
7522686 7404372 3039000 7520688 0.532439 
14596534 906175 5320158 1764681 0.214637 
14618834 2606441 1852706 4684718 0.506283 
16095815 15037234 8125346 15983436 1.141910 
9352324 8512850 8164457 9246521 0.655315 
11099451 3392184 46223 5533197 0.512476 
1869343 551419 697304 924046 0.081404 
15375861 10512448 10699217 14100107 1.007820 
15705360 5599768 5818439 9090855 0.748341 
6938620 6573621 1585393 6920193 0.485271 
3886628 1171171 2861512 2061578 0.170720 
18483162 6476474 17090630 10035556 0.860172 
13101996 642787 6559962 1235411 0.153559 
9197811 8667053 2295793 9171941 0.656297 
11066487 6665676 7451975 9574395 0.693048 
14682290 1477410 7763963 2685430 0.300473 
16551633 12084901 8915287 15388776 1.146257 
11927494 1782821 4288607 3350533 0.367082 
7632854 1311180 3681196 2389825 0.299786 
14571475 968398 1097438 1865194 0.297951 
7110751 4032442 763617 5716111 0.407236 
10014811 5812994 4552810 8405064 0.594330 
16768681 3729874 7391583 6604485 0.593176 
4048977 2637961 2974341 3523126 0.250957 
15115464 1751281 253490 3215965 0.389629 
