# maxrange N1 N2 finalcard time(s)
1417540 436301 1029252 649253 0.008139 
10387226 8707830 509366 9855889 0.107538 
10865725 10791731 3540677 10865118 0.090882 
12077645 743327 10294641 1438248 0.014100 
13673339 9094092 5981847 11559552 0.148297 
18417603 16856275 7386911 18275497 0.256338 
2587542 482002 955433 888115 0.008723 
9379174 2054586 8504970 3542460 0.041313 
7407330 121627 6986344 239187 0.002285 
16342013 14795561 10254933 16256927 0.170510 
12048860 8530150 5087032 11204535 0.157042 
9117832 3445180 6202527 5605880 0.083924 
5251990 2144303 2523825 3335548 0.039098 
8959295 5641263 2481337 7708029 0.107405 
7952741 2189420 4261859 3644838 0.045998 
1944976 1201964 64216 1641388 0.021583 
9200801 4138256 5878755 6508239 0.081504 
10199492 2073013 3781736 3664164 0.038210 
17676440 5084699 12263003 9028264 0.107911 
16505735 10054409 16471218 14160135 0.181837 
13002606 11703442 1157139 12879294 0.134655 
7052251 1094090 4837870 2033923 0.016196 
9442530 3017209 428164 4879573 0.056834 
16953165 8553971 13542677 12921728 0.198769 
17565625 7561079 5416466 12213919 0.157042 
14262547 9496561 13993202 12767653 0.169522 
9707131 1161120 5976395 2170193 0.021942 
9621931 1031056 6301084 1945194 0.020707 
19388427 16179312 17199593 18901476 0.279791 
2517543 1609669 464512 2175122 0.031038 
16423768 11887155 10489383 15132743 0.192019 
2524643 166981 2409802 322530 0.003179 
11207394 4251682 1118858 6902167 0.096352 
5854098 2219340 5619254 3342257 0.041612 
11058752 7301375 4173874 9768636 0.143495 
8149010 1409655 2903759 2573439 0.028412 
17856142 9863286 8506584 14747519 0.181179 
19994425 7655097 16871878 11685307 0.168301 
19382853 13993020 2856441 17876740 0.301180 
14416748 6629583 5869100 10202038 0.148912 
10840516 8387298 69540 10641272 0.156257 
13365159 13221044 1757732 13363839 0.114880 
4572553 1334025 3103595 2194162 0.027494 
2943003 2686060 578234 2905375 0.027782 
6518107 6028744 4314163 6459632 0.062324 
19529154 14184707 19278742 18570058 0.278319 
19592334 106623 13534299 212501 0.001669 
16976784 12723516 15669405 16050317 0.191997 
13781763 11176697 3621358 12997307 0.143596 
4546560 2981181 2648454 4120627 0.053045 
5185185 1313562 3395135 2299418 0.026433 
13595097 10798528 2115860 13147894 0.163878 
19373349 14824568 16202248 18191866 0.291361 
4852634 4601834 4130930 4835283 0.050566 
8808585 5955270 5996060 8043948 0.108216 
8034986 696332 7797802 1316530 0.012004 
16237892 6468984 8332237 10302206 0.129692 
6389569 4775268 3228263 6072543 0.088972 
11596366 9788523 6476415 11320253 0.134090 
5222833 2610174 5147558 3827690 0.046286 
7073847 3589404 2835593 5260965 0.080667 
16941062 15898476 2852483 16856529 0.200107 
8830763 356788 611619 698794 0.006279 
13683397 1786660 4026191 3350510 0.036846 
2491982 2075436 1021366 2386466 0.024884 
3043320 1056706 37278 1594331 0.016656 
11797565 8344324 9544109 10532890 0.140472 
18187134 340454 14623384 666883 0.006376 
2299853 1460805 1207783 2085854 0.023013 
7522686 7404372 3039000 7519947 0.061438 
14596534 906175 5320158 1705642 0.017189 
14618834 2606441 1852706 4725254 0.055693 
16095815 15037234 8125346 16020286 0.149180 
9352324 8512850 8164457 9285999 0.106145 
11099451 3392184 46223 5707513 0.085318 
1869343 551419 697304 927487 0.011821 
15375861 10512448 10699217 13841020 0.203892 
15705360 5599768 5818439 9078988 0.136061 
6938620 6573621 1585393 6922473 0.061507 
3886628 1171171 2861512 1994615 0.019071 
18483162 6476474 17090630 10509198 0.157169 
13101996 642787 6559962 1190366 0.014319 
9197811 8667053 2295793 9191957 0.096199 
11066487 6665676 7451975 9333394 0.136979 
14682290 1477410 7763963 2798472 0.026843 
16551633 12084901 8915287 15307684 0.193661 
11927494 1782821 4288607 3213795 0.035921 
7632854 1311180 3681196 2225301 0.027776 
14571475 968398 1097438 1865369 0.016292 
7110751 4032442 763617 5900483 0.080717 
10014811 5812994 4552810 8458726 0.141297 
16768681 3729874 7391583 6525410 0.075299 
4048977 2637961 2974341 3653666 0.044534 
15115464 1751281 253490 3314068 0.031446 
2314107 389343 1929127 719789 0.007567 
18865740 2708851 10329483 5034471 0.054137 
3309587 1541722 347288 2365630 0.031558 
3458793 2384531 2043516 3052302 0.036736 
10546620 3679094 8189911 6214051 0.074129 
17657371 6898013 12203225 11180613 0.148710 
14769883 354155 2695205 695692 0.005898 
17104697 2554737 12370156 4744157 0.053579 
1153674 432453 868919 684650 0.007229 
8785490 8762557 3840772 8785385 0.081486 
3615949 3266649 1334477 3580780 0.035953 
2481690 1261352 1024127 1881230 0.023372 
18307629 13487189 880369 17186872 0.280543 
1766422 921228 418308 1338076 0.018660 
12313043 5897977 12293867 8963191 0.140377 
2486766 46695 2238190 91383 0.000863 
15191653 5499995 4819607 8928225 0.137558 
4665220 1848797 2679964 2934660 0.038941 
14631287 2377951 6471239 4346834 0.051410 
18078721 1032958 4471292 1907152 0.016949 
16707205 8937437 8654623 12697525 0.167209 
16492728 5708801 10828250 9504547 0.137734 
6647227 4664049 280243 6188570 0.084642 
16139563 15341173 10674738 16095611 0.146260 
5277883 1220762 1666475 2081227 0.018053 
18128223 16079075 5261992 17786778 0.237210 
13355511 10498341 3059991 12659068 0.159691 
5632563 1656340 4527332 2724652 0.032528 
4251768 1653967 958198 2662741 0.033070 
2887660 1655588 907276 2368097 0.033983 
18141009 3864120 5834657 6850547 0.088818 
10574887 6611735 7448996 8951460 0.144244 
8794057 4914055 5010227 7117581 0.117127 
5321929 1308797 1205255 2184750 0.026479 
5631942 383476 3832072 734389 0.006485 
9544209 7618045 4034522 9020469 0.124190 
19952366 2784206 13632779 5159263 0.062150 
18101281 4806122 16227882 8294101 0.101891 
14869401 12869508 11515650 14599505 0.168587 
10273413 1699029 6490360 3057604 0.035997 
8414422 633964 5590527 1189656 0.012016 
11505661 10512074 8887255 11464020 0.119442 
12816071 6433580 9497621 9810826 0.133347 
18138000 9480320 16754000 13638475 0.192677 
3769942 782148 3609408 1413482 0.016821 
5830504 1003535 5726175 1897717 0.016516 
5975358 2870555 3572034 4049239 0.046401 
18179117 5503403 4601744 8789324 0.123145 
13521090 10245820 8287796 12529122 0.159530 
16750614 9278941 3187201 12953843 0.159713 
13918865 3862063 12285296 6310420 0.094942 
2176620 1164649 471083 1695927 0.020100 
18705400 9583032 15458386 14355633 0.195621 
6478004 870809 589334 1580971 0.015338 
15266356 7474683 14404998 11548743 0.136812 
9606368 3868887 4142345 6090361 0.081768 
6586128 331573 4692806 646738 0.006457 
18485374 4946180 1562247 8600562 0.120688 
4700010 2561451 3670005 3549073 0.042570 
1838989 743522 855418 1213950 0.016080 
7040926 5592196 591034 6800200 0.083499 
11700699 11602464 5976936 11700326 0.098298 
11189562 10786333 4252672 11170477 0.100670 
19643461 17583520 17816785 19401318 0.266738 
7426169 4501455 1938402 6321428 0.082633 
17032538 4284006 2673269 7184709 0.094672 
16135018 9251120 14431371 13598453 0.179445 
14620392 7318152 6544230 10967173 0.141593 
11836754 3236667 10932901 5556439 0.069186 
13675743 10205642 5262718 12864760 0.171162 
13233021 357931 5183428 708989 0.006803 
4933720 4080390 3332180 4796043 0.056418 
8639634 4063115 326447 6215030 0.083908 
8681983 3339640 1003309 5417965 0.064137 
2648142 393016 40503 734753 0.007658 
19045063 13394890 10446264 17879343 0.258545 
12976554 2590134 8567620 4810569 0.050848 
4531492 3771038 822102 4413410 0.053123 
11900034 234353 10626526 463744 0.003923 
12629780 1252068 7875024 2363752 0.026337 
5862802 1724949 3216466 2874091 0.031676 
10796522 2375867 10392531 4223779 0.053965 
19436157 17489134 11996868 19261247 0.263416 
4438548 1098216 1511166 1897339 0.022701 
11251530 4194560 869139 7002233 0.084733 
15097051 9885656 5239905 12804594 0.160785 
15077589 5077961 7928723 8418428 0.115265 
2194872 224548 1506858 413996 0.004438 
8632557 7255176 7845306 8443528 0.108331 
1262337 1081645 1062022 1227682 0.015712 
7125139 4827578 6279340 6378976 0.088278 
10438014 716208 3696336 1383931 0.014827 
2390523 1059857 610699 1608040 0.021701 
